sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003832_E10,2,Basidiomycota,2,100,NA,2,
GC1003832_E11,7,Ascomycota,7,100,SLVAEGN01000925,3,
GC1003832_E12,32,Basidiomycota,19,59.4,NA,12,"MAST-4(4),Ascomycota(3),Ascomycota(2),Ascomycota(2),Ascomycota(1),Metazoa(1)"
GC1003832_F01,351,Ascomycota,308,87.7,NA,240,"Basidiomycota(16),Basidiomycota(15),MAST-7(9),Metazoa(2),Metazoa(1)"
GC1003832_F02,322,Ascomycota,297,92.2,NA,241,"Basidiomycota(18),Basidiomycota(4),Basidiomycota(2),Basidiomycota(1)"
GC1003832_F03,628,Ascomycota,602,95.9,SLVJN546132,331,"Basidiomycota(17),Basidiomycota(5),Basidiomycota(3),Metazoa(1)"
GC1003832_F04,19,Ascomycota,8,42.1,SLVJN546132,6,"Basidiomycota(5),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1)"
GC1003832_F05,7,Basidiomycota,2,28.6,NA,2,"Metazoa(2),Metazoa(2),Ascomycota(1)"
GC1003832_F06,2,Basidiomycota,2,100,NA,2,
GC1003832_F07,3,Metazoa,1,33.3,NA,1,"MAST-4(1),MAST-4(1)"
GC1003832_F08,12,Ascomycota,12,100,SLVU86583,12,
GC1003832_F09,27,Ascomycota,23,85.2,SLVKC674593,14,"Basidiomycota(1),Basidiomycota(1),Metazoa(1),MAST-3(1)"
GC1003832_F10,1,Ascomycota,1,100,SLVJN546132,1,
GC1003832_F11,15,Choanoflagellata,5,33.3,NA,3,"Basidiomycota(3),Basidiomycota(1),Basidiomycota(1),Ascomycota(2),Ascomycota(1),Kinetoplastea(1),Metazoa(1)"
GC1003832_G01,215,Ascomycota,120,55.8,NA,43,"Basidiomycota(38),Basidiomycota(35),Basidiomycota(5),Basidiomycota(4),Basidiomycota(3),Basidiomycota(3),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1),Metazoa(3)"
GC1003832_G02,27,Ascomycota,20,74.1,NA,9,"Basidiomycota(2),Basidiomycota(2),Prymnesiophyceae(2),Prymnesiophyceae(1)"
GC1003832_G03,56,Basidiomycota,44,78.6,SLVAF287840,19,"Chlorarachnea(4),Chlorarachnea(2),Ascomycota(4),Ascomycota(1),Ascomycota(1)"
GC1003832_G04,67,Basidiomycota,39,58.2,NA,27,"Ascomycota(13),Ascomycota(9),Ascomycota(4),Ascomycota(1),Metazoa(1)"
